Value Set Name,Code,CodeSystem
AG_Results,125154007,SCT
AG_Results,82334004,SCT
AG_Results,260385009,SCT
AG_Results,10828004,SCT
Age,PLR392,PLR
Age,OTH,NULLFL
Age,UNK,NULLFL
Age,59223006,SCT
DeathType,PLR529,PLR
DeathType,44561000009107,SCT
DeathType,65037004,SCT
DeathType,38605008,SCT
DeathType,OTH,NULLFL
DeathType,UNK,NULLFL
ExposureType,OTH,NULLFL
ExposureType,PLR431,PLR
ExposureType,PLR433,PLR
ExposureType,PLR430,PLR
ExposureType,UNK,NULLFL
ExposureType,PLR432,PLR
ExposureType,PLR476,PLR
ManufacturerName,PLR2289,PLR
ManufacturerName,PLR2290,PLR
ManufacturerName,PLR2291,PLR
ManufacturerName,PLR2292,PLR
Ownership,OTH,NULLFL
Ownership,PLR393,PLR
Ownership,UNK,NULLFL
Ownership,PLR394,PLR
Ownership,PLR4225,PLR
Ownership,PLR4226,PLR
Ownership,PLR4227,PLR
Ownership,PLR4228,PLR
PCR_Results,260373001,SCT
PCR_Results,260415000,SCT
PCR_Results,419984006,SCT
PCR_Results,260373001,SCT
PCR_Results,260415000,SCT
PCR_Results,419984006,SCT
RabiesStrain,PLR439,PLR
RabiesStrain,PLR435,PLR
RabiesStrain,PLR442,PLR
RabiesStrain,PLR443,PLR
RabiesStrain,PLR445,PLR
RabiesStrain,PLR446,PLR
RabiesStrain,PLR447,PLR
RabiesStrain,PLR440,PLR
RabiesStrain,PLR444,PLR
RabiesStrain,PHC650,CDCPHINVS
RabiesStrain,PLR448,PLR
RabiesStrain,PHC646,CDCPHINVS
RabiesStrain,PLR438,PLR
RabiesStrain,OTH,NULLFL
RabiesStrain,PHC647,CDCPHINVS
RabiesStrain,PHC648,CDCPHINVS
RabiesStrain,PHC649,CDCPHINVS
RabiesStrain,PLR441,PLR
RabiesStrain,PHC652,CDCPHINVS
RabiesStrain,PLR436,PLR
RabiesStrain,PLR437,PLR
RabiesStrain,PHC651,CDCPHINVS
Species,OTH,NULLFL
Species,448771007,SCT
Species,NI,NULLFL
Species,"UNK",NULLFL
Species,34618005,SCT
Species,388445009,SCT
Species,85626006,SCT
Species,132950000,SCT
Species,388393002,SCT
Species,388254009,SCT
Species,125097000,SCT
Species,448169003,SCT
Species,35354009,SCT
Species,PLR439,PLR
Species,PLR440,PLR
Species,PLR441,PLR
Species,PLR443,PLR
Species,PLR444,PLR
Species,PLR445,PLR
Species,PLR446,PLR
Species,PLR447,PLR
Species,PLR448,PLR
Surveillance,PLR397,PLR
Surveillance,PLR396,PLR
Surveillance,PLR395,PLR
VaccinationStatus,171258008,SCT
VaccinationStatus,171259000,SCT
VaccinationStatus,N,HL70136
VaccinationStatus,UNK,NULLFL
VaccinationStatus,PLR530,PLR
VaccineProduct,PLR423,PLR
VaccineProduct,PLR412,PLR
VaccineProduct,PLR404,PLR
VaccineProduct,PLR422,PLR
VaccineProduct,PLR424,PLR
VaccineProduct,PLR425,PLR
VaccineProduct,PLR421,PLR
VaccineProduct,PLR408,PLR
VaccineProduct,PLR426,PLR
VaccineProduct,PLR427,PLR
VaccineProduct,PLR411,PLR
VaccineProduct,PLR407,PLR
VaccineProduct,PLR420,PLR
VaccineProduct,PLR405,PLR
VaccineProduct,PLR414,PLR
VaccineProduct,PLR415,PLR
VaccineProduct,PLR418,PLR
VaccineProduct,PLR417,PLR
VaccineProduct,PLR428,PLR
VaccineProduct,PLR416,PLR
VaccineProduct,PLR406,PLR
VaccineProduct,PLR409,PLR
VaccineProduct,PLR410,PLR
VaccineProduct,PLR413,PLR
VaccineProduct,PLR419,PLR
VaccineProduct,OTH,NULLFL
VaccineProduct,PLR429,PLR
YesNoUnknown,N,HL70136
YesNoUnknown,Y,HL70136
YesNoUnknown,UNK,NULLFL
