HL7 Message Context,Concept Code,Concept Name,Preferred Concept Name,Code System,ARLN Data Element Identifer,ARLN Data element Name,ARLN Value Set Identifier,ARLN Value Set Name
SPM-4.1,UNK,unknown,unknown,NULLFL,ad-113,Specimen_type,av-157,Coded specimen type
SPM-4.1,PLR667,Stool swab (specimen),Stool swab,PLR,ad-113,Specimen_type,av-157,Coded specimen type
SPM-4.1,PLR4350,Nasal mid-turbinate swab (specimen),nasal mid-turbinate swab,PLR,ad-113,Specimen_type,av-157,Coded specimen type
SPM-4.1,PLR4166,Swab of groin and nares (specimen),Swab of groin and nares,PLR,ad-113,Specimen_type,av-157,Coded specimen type
SPM-4.1,PLR4165,Swab of axilla and nares (specimen),Swab of axilla and nares,PLR,ad-113,Specimen_type,av-157,Coded specimen type
SPM-4.1,PLR4164,Swab of axilla and groin (specimen),Swab of axilla and groin,PLR,ad-113,Specimen_type,av-157,Coded specimen type
SPM-4.1,PLR4163,"Swab of axilla, groin and nares (specimen)","Swab of axilla, groin and nares",PLR,ad-113,Specimen_type,av-157,Coded specimen type
SPM-4.1,OTH,other,other,NULLFL,ad-113,Specimen_type,av-157,Coded specimen type
SPM-4.1,733485008,Specimen from lesion of perianal region obtained by scraping (specimen),Specimen from lesion of perianal region obtained by scraping,SCT,ad-113,Specimen_type,av-157,Coded specimen type
SPM-4.1,733484007,Specimen from lesion of penis obtained by scraping (specimen),Specimen from lesion of penis obtained by scraping,SCT,ad-113,Specimen_type,av-157,Coded specimen type
SPM-4.1,733482006,Second void urine specimen (specimen),Second void urine specimen,SCT,ad-113,Specimen_type,av-157,Coded specimen type
SPM-4.1,733476008,Cytologic material from neck obtained by fine needle aspiration (specimen),Cytologic material from neck obtained by fine needle aspiration,SCT,ad-113,Specimen_type,av-157,Coded specimen type
SPM-4.1,733475007,Cytologic material from mass of neck obtained by fine needle aspiration (specimen),Cytologic material from mass of neck obtained by fine needle aspiration,SCT,ad-113,Specimen_type,av-157,Coded specimen type
SPM-4.1,733105003,Cytologic material from lymph node of neck obtained by fine needle aspiration (specimen),Cytologic material from lymph node of neck obtained by fine needle aspiration,SCT,ad-113,Specimen_type,av-157,Coded specimen type
SPM-4.1,733104004,Swab from buccal mucosa (specimen),Swab from buccal mucosa,SCT,ad-113,Specimen_type,av-157,Coded specimen type
SPM-4.1,733103005,Tissue specimen from scar (specimen),Tissue specimen from scar,SCT,ad-113,Specimen_type,av-157,Coded specimen type
SPM-4.1,733101007,Fluid specimen from perirenal region (specimen),Fluid specimen from perirenal region,SCT,ad-113,Specimen_type,av-157,Coded specimen type
SPM-4.1,733056005,Fluid specimen from ear (specimen),Fluid specimen from ear,SCT,ad-113,Specimen_type,av-157,Coded specimen type
SPM-4.1,732976006,Fluid specimen from external auditory canal (specimen),Fluid specimen from external auditory canal,SCT,ad-113,Specimen_type,av-157,Coded specimen type
SPM-4.1,732975005,Fluid specimen from epididymis (specimen),Fluid specimen from epididymis,SCT,ad-113,Specimen_type,av-157,Coded specimen type
SPM-4.1,732972008,Fluid specimen from cyst of ovary (specimen),Fluid specimen from cyst of ovary,SCT,ad-113,Specimen_type,av-157,Coded specimen type
SPM-4.1,732964006,Gastrostomy tube submitted as specimen (specimen),Gastrostomy tube submitted as specimen,SCT,ad-113,Specimen_type,av-157,Coded specimen type
SPM-4.1,732295009,Discharge specimen from penis (specimen),Discharge specimen from penis,SCT,ad-113,Specimen_type,av-157,Coded specimen type
SPM-4.1,732293002,Salivary calculus specimen (specimen),Salivary calculus specimen,SCT,ad-113,Specimen_type,av-157,Coded specimen type
SPM-4.1,732227008,Twenty four hour stool specimen (specimen),24 hour stool specimen,SCT,ad-113,Specimen_type,av-157,Coded specimen type
SPM-4.1,732226004,Forty eight hour stool specimen (specimen),48 hour stool specimen,SCT,ad-113,Specimen_type,av-157,Coded specimen type
SPM-4.1,732222002,Seventy two hour urine specimen (specimen),72 hour urine specimen,SCT,ad-113,Specimen_type,av-157,Coded specimen type
SPM-4.1,732220005,Forty eight hour urine specimen (specimen),48 hour urine specimen,SCT,ad-113,Specimen_type,av-157,Coded specimen type
SPM-4.1,732217002,Eight hour urine specimen (specimen),8 hour urine specimen,SCT,ad-113,Specimen_type,av-157,Coded specimen type
SPM-4.1,732211001,Twelve hour urine specimen (specimen),12 hour urine specimen,SCT,ad-113,Specimen_type,av-157,Coded specimen type
SPM-4.1,726058008,a.m. peak specimen (specimen),a.m. peak specimen,SCT,ad-113,Specimen_type,av-157,Coded specimen type
SPM-4.1,726057003,p.m. trough specimen (specimen),p.m. trough specimen,SCT,ad-113,Specimen_type,av-157,Coded specimen type
SPM-4.1,725957005,Formalin-fixed placenta tissue specimen (specimen),Formalin-fixed placenta tissue specimen,SCT,ad-113,Specimen_type,av-157,Coded specimen type
SPM-4.1,725946000,Reticulocyte specimen (specimen),Reticulocyte specimen,SCT,ad-113,Specimen_type,av-157,Coded specimen type
SPM-4.1,725372003,Tissue specimen from aorta (specimen),Tissue specimen from aorta,SCT,ad-113,Specimen_type,av-157,Coded specimen type
SPM-4.1,718684005,Endocervical brush specimen (specimen),Endocervical brush specimen,SCT,ad-113,Specimen_type,av-157,Coded specimen type
SPM-4.1,712562009,Twenty four hours specimen (specimen),Twenty four hours specimen,SCT,ad-113,Specimen_type,av-157,Coded specimen type
SPM-4.1,712561002,Four hours specimen (specimen),Four hours specimen,SCT,ad-113,Specimen_type,av-157,Coded specimen type
SPM-4.1,712560001,Two hours specimen (specimen),Two hours specimen,SCT,ad-113,Specimen_type,av-157,Coded specimen type
SPM-4.1,712559006,Seventy minutes specimen (specimen),Seventy minutes specimen,SCT,ad-113,Specimen_type,av-157,Coded specimen type
SPM-4.1,710069003,Tick specimen (specimen),Tick specimen,SCT,ad-113,Specimen_type,av-157,Coded specimen type
SPM-4.1,709024005,Paint chip sample (specimen),Paint chip sample,SCT,ad-113,Specimen_type,av-157,Coded specimen type
SPM-4.1,708317005,Pooled specimen from vaginal introitus and rectal swab (specimen),Pooled specimen from vaginal introitus and rectal swab,SCT,ad-113,Specimen_type,av-157,Coded specimen type
SPM-4.1,708285007,Tissue impression smear sample (specimen),Tissue impression smear sample,SCT,ad-113,Specimen_type,av-157,Coded specimen type
SPM-4.1,708112008,Retrouterine pouch fluid aspirate (specimen),Retrouterine pouch fluid aspirate,SCT,ad-113,Specimen_type,av-157,Coded specimen type
SPM-4.1,708111001,Untreated water specimen (specimen),Untreated water specimen,SCT,ad-113,Specimen_type,av-157,Coded specimen type
SPM-4.1,708110000,Treated water specimen (specimen),Treated water specimen,SCT,ad-113,Specimen_type,av-157,Coded specimen type
SPM-4.1,708049000,Plasma specimen with ethylenediamine tetraacetic acid (specimen),Plasma specimen with ethylenediamine tetraacetic acid,SCT,ad-113,Specimen_type,av-157,Coded specimen type
SPM-4.1,708048008,Plasma specimen with citrate (specimen),Plasma specimen with citrate,SCT,ad-113,Specimen_type,av-157,Coded specimen type
SPM-4.1,705054005,Muscle specimen (specimen),Muscle specimen,SCT,ad-113,Specimen_type,av-157,Coded specimen type
SPM-4.1,704663000,Parasitic worm specimen (specimen),Parasitic worm specimen,SCT,ad-113,Specimen_type,av-157,Coded specimen type
SPM-4.1,704243004,Animal head specimen (specimen),Animal head specimen,SCT,ad-113,Specimen_type,av-157,Coded specimen type
SPM-4.1,703691002,Spun cerebrospinal fluid (specimen),Spun cerebrospinal fluid,SCT,ad-113,Specimen_type,av-157,Coded specimen type
SPM-4.1,703475006,Tissue specimen from nodule (specimen),Tissue specimen from nodule,SCT,ad-113,Specimen_type,av-157,Coded specimen type
SPM-4.1,703432000,Venous plasma specimen (specimen),Venous plasma specimen,SCT,ad-113,Specimen_type,av-157,Coded specimen type
SPM-4.1,703431007,Venous cord blood specimen (specimen),Venous cord blood specimen,SCT,ad-113,Specimen_type,av-157,Coded specimen type
SPM-4.1,703430008,Arterial cord blood specimen (specimen),Arterial cord blood specimen,SCT,ad-113,Specimen_type,av-157,Coded specimen type
SPM-4.1,702701006,Specimen from cervix or vagina (specimen),Specimen from cervix or vagina,SCT,ad-113,Specimen_type,av-157,Coded specimen type
SPM-4.1,699874006,Tissue specimen from pericardium (specimen),Tissue specimen from pericardium,SCT,ad-113,Specimen_type,av-157,Coded specimen type
