Field,Field_1 (RE),Field_2 (R),Field_3 (R)
MSH-4,AK.Anchorage.SPHL,2.16.840.1.114222.4.1.14410,ISO
MSH-4,,2.16.840.1.114222.4.1.14410,ISO
MSH-4,AL.Montgomery.SPHL,2.16.840.1.114222.4.1.11476,ISO
MSH-4,,2.16.840.1.114222.4.1.11476,ISO
MSH-4,AR.LittleRock.SPHL,2.16.840.1.114222.4.1.20083,ISO
MSH-4,,2.16.840.1.114222.4.1.20083,ISO
MSH-4,AZ.Phoenix.SPHL,2.16.840.1.114222.4.1.15234,ISO
MSH-4,,2.16.840.1.114222.4.1.15234,ISO
MSH-4,CA PHL VRDL,2.16.840.1.114222.4.1.10765,ISO
MSH-4,,2.16.840.1.114222.4.1.10765,ISO
MSH-4,CO PHL Serv Div,2.16.840.1.114222.4.1.9956,ISO
MSH-4,,2.16.840.1.114222.4.1.9956,ISO
MSH-4,CT.SPHL,2.16.840.1.114222.4.1.213199 ,ISO
MSH-4,,2.16.840.1.114222.4.1.213199 ,ISO
MSH-4,DC.Washington.PHL,2.16.840.1.114222.4.1.45549,ISO
MSH-4,,2.16.840.1.114222.4.1.45549,ISO
MSH-4,DE PHL,2.16.840.1.114222.4.1.44596,ISO
MSH-4,,2.16.840.1.114222.4.1.44596,ISO
MSH-4,FL.PHL.Jacksonville,2.16.840.1.114222.4.1.10000,ISO
MSH-4,,2.16.840.1.114222.4.1.10000,ISO
MSH-4,FL.PHL.Pensacola,2.16.840.1.114222.4.1.10001,ISO
MSH-4,,2.16.840.1.114222.4.1.10001,ISO
MSH-4,FL.PHL.Tampa,2.16.840.1.114222.4.1.10002,ISO
MSH-4,,2.16.840.1.114222.4.1.10002,ISO
MSH-4,FL PHL W Palm Beach,2.16.840.1.114222.4.1.47761,ISO
MSH-4,,2.16.840.1.114222.4.1.47761,ISO
MSH-4,FL PHL Miami,2.16.840.1.114222.4.1.9940,ISO
MSH-4,,2.16.840.1.114222.4.1.9940,ISO
MSH-4,GA.Decatur.SPHL,2.16.840.1.114222.4.1.61116,ISO
MSH-4,,2.16.840.1.114222.4.1.61116,ISO
MSH-4,HI.PearlCity.SPHL,2.16.840.1.114222.4.1.10179,ISO
MSH-4,,2.16.840.1.114222.4.1.10179,ISO
